Ref,Val,Package,PosX,PosY,Rot,Side
"TH1","Thermistor_PTC","R_0603_1608Metric",179.832000,-75.946000,90.000000,top
"TH2","Thermistor_PTC","R_0603_1608Metric",140.843000,-77.470000,-90.000000,top
"TP1","M_1A","MOTOR_PAD",186.055000,-51.562000,0.000000,top
"TP2","M_2A","MOTOR_PAD",186.055000,-61.468000,0.000000,top
"TP3","M_3A","MOTOR_PAD",186.055000,-71.374000,0.000000,top
"TP4","M_1B","MOTOR_PAD",186.055000,-81.407000,0.000000,top
"TP5","M_2B","MOTOR_PAD",186.055000,-91.186000,0.000000,top
"TP6","M_3B","MOTOR_PAD",186.055000,-101.219000,0.000000,top
"U1","STM32F407ZGT6","LQFP-144_20x20mm_P0.5mm",123.952000,-76.200000,0.000000,top
"U2","DRV8301DCAR","HTSSOP-56-1EP_6.1x14mm_P0.5mm_EP3.61x6.35mm",146.812000,-68.326000,0.000000,top
"U3","DRV8301DCAR","HTSSOP-56-1EP_6.1x14mm_P0.5mm_EP3.61x6.35mm",146.812000,-90.678000,0.000000,top
"U5","NRF24L01_Breakout","nRF24L01_Breakout",118.410000,-101.637000,180.000000,top
"Y1","25MHz","Oscillator_SMD_TXC_7C-4Pin_5.0x3.2mm",107.442000,-73.812400,-90.000000,top
